"","page","geostate","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","New York (United States)",39006,"",""
"19318","Prevent Mosquito Bites | Zika virus | CDC","Monsenor Nouel (Dominican Republic)",1,"",""
"19319","Prevent Mosquito Bites | Zika virus | CDC","French Polynesia (French Polynesia)",1,"",""
"19320","Prevent Mosquito Bites | Zika virus | CDC","Hubei (China)",1,"",""
"19321","Prevent Mosquito Bites | Zika virus | CDC","Alger (Algeria)",1,"",""
"19322","Prevent Mosquito Bites | Zika virus | CDC","Ilfov (Romania)",1,"",""
"19323","Prevent Mosquito Bites | Zika virus | CDC","Guerrero (Mexico)",1,"",""
"19324","Prevent Mosquito Bites | Zika virus | CDC","Ash Sharqlyah (Saudi Arabia)",1,"",""
"19325","Prevent Mosquito Bites | Zika virus | CDC","Antioquia (Colombia)",1,"",""
"19326","Prevent Mosquito Bites | Zika virus | CDC","Bury (United Kingdom)",1,"",""
"19327","Prevent Mosquito Bites | Zika virus | CDC","Pangasinan (Philippines)",1,"",""
"19328","Prevent Mosquito Bites | Zika virus | CDC","Alborz (Iran (Islamic Republic of))",1,"",""
"19329","Prevent Mosquito Bites | Zika virus | CDC","Sliema (Malta)",1,"",""
"19330","Prevent Mosquito Bites | Zika virus | CDC","Da Nang (Viet Nam)",1,"",""
"19331","Prevent Mosquito Bites | Zika virus | CDC","Sabaragamuva Palata (Sri Lanka)",1,"",""
"19332","Prevent Mosquito Bites | Zika virus | CDC","Santa Cruz (Bolivia)",1,"",""
"19333","Prevent Mosquito Bites | Zika virus | CDC","Daejeon Gwangyeog-SI (South Korea)",1,"",""
"19334","Prevent Mosquito Bites | Zika virus | CDC","Jeju-DO (South Korea)",1,"",""
"19335","Prevent Mosquito Bites | Zika virus | CDC","Valletta (Malta)",1,"",""
"19336","Prevent Mosquito Bites | Zika virus | CDC","Ceredigion (United Kingdom)",1,"",""
"19337","Prevent Mosquito Bites | Zika virus | CDC","Sinaloa (Mexico)",1,"",""
"19338","Prevent Mosquito Bites | Zika virus | CDC","San Salvador (El Salvador)",1,"",""
"19339","Prevent Mosquito Bites | Zika virus | CDC","Yamanashi (Japan)",1,"",""
"19340","Prevent Mosquito Bites | Zika virus | CDC","St. Helens (United Kingdom)",1,"",""
"19341","Prevent Mosquito Bites | Zika virus | CDC","Kosovski Okrug (Serbia)",1,"",""
"19342","Prevent Mosquito Bites | Zika virus | CDC","Nakhon Si Thammarat (Thailand)",1,"",""
"19343","Prevent Mosquito Bites | Zika virus | CDC","Pingtung County (Taiwan)",1,"",""
"19344","Prevent Mosquito Bites | Zika virus | CDC","Poole (United Kingdom)",1,"",""
"19345","Prevent Mosquito Bites | Zika virus | CDC","Koper/Capodistria (Slovenia)",1,"",""
"19346","Prevent Mosquito Bites | Zika virus | CDC","Southend-On-Sea (United Kingdom)",1,"",""
"19347","Prevent Mosquito Bites | Zika virus | CDC","Hamerkaz (Israel)",1,"",""
"19348","Prevent Mosquito Bites | Zika virus | CDC","Kauno (Lithuania)",1,"",""
"19349","Prevent Mosquito Bites | Zika virus | CDC","Ajman (United Arab Emirates)",1,"",""
"19350","Prevent Mosquito Bites | Zika virus | CDC","Eastern Cape (South Africa)",1,"",""
"19351","Prevent Mosquito Bites | Zika virus | CDC","Al Khartum (Sudan)",1,"",""
"19352","Prevent Mosquito Bites | Zika virus | CDC","More Og Romsdal (Norway)",1,"",""
"19353","Prevent Mosquito Bites | Zika virus | CDC","Kirikkale (Turkey)",1,"",""
"19354","Prevent Mosquito Bites | Zika virus | CDC","Ancona (Italy)",1,"",""
"19355","Prevent Mosquito Bites | Zika virus | CDC","Samut Prakan (Thailand)",1,"",""
"19356","Prevent Mosquito Bites | Zika virus | CDC","Akershus (Norway)",1,"",""
"19357","Prevent Mosquito Bites | Zika virus | CDC","Francisco Morazan (Honduras)",1,"",""
"19358","Prevent Mosquito Bites | Zika virus | CDC","Ostrobothnia (Finland)",1,"",""
"19359","Prevent Mosquito Bites | Zika virus | CDC","Falkirk (United Kingdom)",1,"",""
"19360","Prevent Mosquito Bites | Zika virus | CDC","Baja California Sur (Mexico)",1,"",""
"19361","Prevent Mosquito Bites | Zika virus | CDC","Nonthaburi (Thailand)",1,"",""
"19362","Prevent Mosquito Bites | Zika virus | CDC","Verona (Italy)",1,"",""
"19363","Prevent Mosquito Bites | Zika virus | CDC","Rutland (United Kingdom)",1,"",""
"19364","Prevent Mosquito Bites | Zika virus | CDC","Ealing (United Kingdom)",1,"",""
"19365","Prevent Mosquito Bites | Zika virus | CDC","Dolnoslaskie (Poland)",1,"",""
"19366","Prevent Mosquito Bites | Zika virus | CDC","Anhui (China)",1,"",""
"19367","Prevent Mosquito Bites | Zika virus | CDC","Thuringen (Germany)",1,"",""
"19368","Prevent Mosquito Bites | Zika virus | CDC","Cara'-Severin (Romania)",1,"",""
"19369","Prevent Mosquito Bites | Zika virus | CDC","Odisha (India)",1,"",""
"19370","Prevent Mosquito Bites | Zika virus | CDC","Vale of Glamorgan (United Kingdom)",1,"",""
"19371","Prevent Mosquito Bites | Zika virus | CDC","Fars (Iran (Islamic Republic of))",1,"",""
"19372","Prevent Mosquito Bites | Zika virus | CDC","Castelo Branco (Portugal)",1,"",""
"19373","Prevent Mosquito Bites | Zika virus | CDC","Al-Madinah (Saudi Arabia)",1,"",""
"19374","Prevent Mosquito Bites | Zika virus | CDC","Saint George (Grenada)",1,"",""
"19375","Prevent Mosquito Bites | Zika virus | CDC","Woqooyi Galbeed (Somalia)",1,"",""
"19376","Prevent Mosquito Bites | Zika virus | CDC","Ilhas De Sotavento (Cape Verde)",1,"",""
"19377","Prevent Mosquito Bites | Zika virus | CDC","Carlow (Ireland)",1,"",""
"19378","Prevent Mosquito Bites | Zika virus | CDC","Santiago (Dominican Republic)",1,"",""
"19379","Prevent Mosquito Bites | Zika virus | CDC","Reunion (Reunion)",1,"",""
"19380","Prevent Mosquito Bites | Zika virus | CDC","Telford and Wrekin (United Kingdom)",1,"",""
"19381","Prevent Mosquito Bites | Zika virus | CDC","Rovigo (Italy)",1,"",""
"19382","Prevent Mosquito Bites | Zika virus | CDC","Hebei (China)",1,"",""
"19383","Prevent Mosquito Bites | Zika virus | CDC","Saint George (Dominica)",1,"",""
"19384","Prevent Mosquito Bites | Zika virus | CDC","Irkutskaya Oblast (Russian Federation)",1,"",""
"19385","Prevent Mosquito Bites | Zika virus | CDC","Ash Shariqah (United Arab Emirates)",1,"",""
"19386","Prevent Mosquito Bites | Zika virus | CDC","Argyll and Bute (United Kingdom)",1,"",""
"19387","Prevent Mosquito Bites | Zika virus | CDC","Centre (Burkina Faso)",1,"",""
"19388","Prevent Mosquito Bites | Zika virus | CDC","Viterbo (Italy)",1,"",""
"19389","Prevent Mosquito Bites | Zika virus | CDC","South East (Singapore)",1,"",""
"19390","Prevent Mosquito Bites | Zika virus | CDC","Juznobanatcki Okrug (Serbia)",1,"",""
"19391","Prevent Mosquito Bites | Zika virus | CDC","Himachal Pradesh (India)",1,"",""
"19392","Prevent Mosquito Bites | Zika virus | CDC","Flintshire (United Kingdom)",1,"",""
"19393","Prevent Mosquito Bites | Zika virus | CDC","Valle Del Cauca (Colombia)",1,"",""
"19394","Prevent Mosquito Bites | Zika virus | CDC","Down (United Kingdom)",1,"",""
"19395","Prevent Mosquito Bites | Zika virus | CDC","Bulacan (Philippines)",1,"",""
"19396","Prevent Mosquito Bites | Zika virus | CDC","Cluj (Romania)",1,"",""
"19397","Prevent Mosquito Bites | Zika virus | CDC","Bari (Italy)",1,"",""
"19398","Prevent Mosquito Bites | Zika virus | CDC","Magnisia (Greece)",1,"",""
"19399","Prevent Mosquito Bites | Zika virus | CDC","Maranhao (Brazil)",1,"",""
"19400","Prevent Mosquito Bites | Zika virus | CDC","East Ayrshire (United Kingdom)",1,"",""
"19401","Prevent Mosquito Bites | Zika virus | CDC","Luhans'ka Oblast' (Ukraine)",1,"",""
"19402","Prevent Mosquito Bites | Zika virus | CDC","Zurrieq (Malta)",1,"",""
"19403","Prevent Mosquito Bites | Zika virus | CDC","Pavlodar Oblysy (Kazakhstan)",1,"",""
"19404","Prevent Mosquito Bites | Zika virus | CDC","Darlington (United Kingdom)",1,"",""
"19405","Prevent Mosquito Bites | Zika virus | CDC","Perugia (Italy)",1,"",""
"19406","Prevent Mosquito Bites | Zika virus | CDC","Comayagua (Honduras)",1,"",""
"19407","Prevent Mosquito Bites | Zika virus | CDC","Tamaulipas (Mexico)",1,"",""
"19408","Prevent Mosquito Bites | Zika virus | CDC","Gateshead (United Kingdom)",1,"",""
"19409","Prevent Mosquito Bites | Zika virus | CDC","Salta (Argentina)",1,"",""
"19410","Prevent Mosquito Bites | Zika virus | CDC","Treviso (Italy)",1,"",""
"19411","Prevent Mosquito Bites | Zika virus | CDC","Lara (Venezuela)",1,"",""
"19412","Prevent Mosquito Bites | Zika virus | CDC","Dudley (United Kingdom)",1,"",""
"19413","Prevent Mosquito Bites | Zika virus | CDC","Vizcaya (Spain)",1,"",""
"19414","Prevent Mosquito Bites | Zika virus | CDC","Bracknell Forest (United Kingdom)",1,"",""
"19415","Prevent Mosquito Bites | Zika virus | CDC","Zachodniopomorskie (Poland)",1,"",""
"19416","Prevent Mosquito Bites | Zika virus | CDC","Salzburg (Austria)",1,"",""
"19417","Prevent Mosquito Bites | Zika virus | CDC","Ba Ria-Vung Tau (Viet Nam)",1,"",""
"19418","Prevent Mosquito Bites | Zika virus | CDC","Norrbottens Lan (Sweden)",1,"",""
"19419","Prevent Mosquito Bites | Zika virus | CDC","Ceara (Brazil)",1,"",""
"19420","Prevent Mosquito Bites | Zika virus | CDC","Eilean Siar (United Kingdom)",1,"",""
"19421","Prevent Mosquito Bites | Zika virus | CDC","Guam (Guam)",1,"",""
"19422","Prevent Mosquito Bites | Zika virus | CDC","Jihomoravsky Kraj (Czech Republic)",1,"",""
"19423","Prevent Mosquito Bites | Zika virus | CDC","Hokkaido (Japan)",1,"",""
"19424","Prevent Mosquito Bites | Zika virus | CDC","Hsinchu City (Taiwan)",1,"",""
"19425","Prevent Mosquito Bites | Zika virus | CDC","Batangas (Philippines)",1,"",""
"19426","Prevent Mosquito Bites | Zika virus | CDC","Chandigarh (India)",1,"",""
"19427","Prevent Mosquito Bites | Zika virus | CDC","Central (Uganda)",1,"",""
"19428","Prevent Mosquito Bites | Zika virus | CDC","Cartago (Costa Rica)",1,"",""
"19429","Prevent Mosquito Bites | Zika virus | CDC","Northwest Territories (Canada)",1,"",""
"19430","Prevent Mosquito Bites | Zika virus | CDC","Can Tho (Viet Nam)",1,"",""
"19431","Prevent Mosquito Bites | Zika virus | CDC","Baja California (Mexico)",1,"",""
"19432","Prevent Mosquito Bites | Zika virus | CDC","Meath (Ireland)",1,"",""
"19433","Prevent Mosquito Bites | Zika virus | CDC","Port Louis City (Mauritius)",1,"",""
"19434","Prevent Mosquito Bites | Zika virus | CDC","Alava (Spain)",1,"",""
"19435","Prevent Mosquito Bites | Zika virus | CDC","Para (Brazil)",1,"",""
"19436","Prevent Mosquito Bites | Zika virus | CDC","Tasmania (Australia)",1,"",""
"19437","Prevent Mosquito Bites | Zika virus | CDC","Trang (Thailand)",1,"",""
"19438","Prevent Mosquito Bites | Zika virus | CDC","North Lincolnshire (United Kingdom)",1,"",""
"19439","Prevent Mosquito Bites | Zika virus | CDC","Bihar (India)",1,"",""
"19440","Prevent Mosquito Bites | Zika virus | CDC","Calderdale (United Kingdom)",1,"",""
"19441","Prevent Mosquito Bites | Zika virus | CDC","Hedmark (Norway)",1,"",""
"19442","Prevent Mosquito Bites | Zika virus | CDC","Chihuahua (Mexico)",1,"",""
"19443","Prevent Mosquito Bites | Zika virus | CDC","Arima (Trinidad and Tobago)",1,"",""
"19444","Prevent Mosquito Bites | Zika virus | CDC","Queretaro (Mexico)",1,"",""
"19445","Prevent Mosquito Bites | Zika virus | CDC","Mandalay (Myanmar)",1,"",""
"19446","Prevent Mosquito Bites | Zika virus | CDC","Irakleion (Greece)",1,"",""
"19447","Prevent Mosquito Bites | Zika virus | CDC","Eskisehir (Turkey)",1,"",""
"19448","Prevent Mosquito Bites | Zika virus | CDC","Ostergotlands Lan (Sweden)",1,"",""
"19449","Prevent Mosquito Bites | Zika virus | CDC","Littoral (Benin)",1,"",""
"19450","Prevent Mosquito Bites | Zika virus | CDC","Marlborough (New Zealand)",1,"",""
"19451","Prevent Mosquito Bites | Zika virus | CDC","Southland (New Zealand)",1,"",""
"19452","Prevent Mosquito Bites | Zika virus | CDC","Ubon Ratchathani (Thailand)",1,"",""
"19453","Prevent Mosquito Bites | Zika virus | CDC","Redcar and Cleveland (United Kingdom)",1,"",""
"19454","Prevent Mosquito Bites | Zika virus | CDC","Pirkanmaa (Finland)",1,"",""
"19455","Prevent Mosquito Bites | Zika virus | CDC","Zacatecas (Mexico)",1,"",""
"19456","Prevent Mosquito Bites | Zika virus | CDC","Cortes (Honduras)",1,"",""
"19457","Prevent Mosquito Bites | Zika virus | CDC","Friesland (Netherlands)",1,"",""
"19458","Prevent Mosquito Bites | Zika virus | CDC","Masqat (Oman)",1,"",""
"19459","Prevent Mosquito Bites | Zika virus | CDC","Estuaire (Gabon)",1,"",""
"19460","Prevent Mosquito Bites | Zika virus | CDC","Hawkes Bay (New Zealand)",1,"",""
"19461","Prevent Mosquito Bites | Zika virus | CDC","Trnavsky Kraj (Slovakia (Slovak Republic))",1,"",""
"19462","Prevent Mosquito Bites | Zika virus | CDC","Paramaribo (Suriname)",1,"",""
"19463","Prevent Mosquito Bites | Zika virus | CDC","Tbilisi (Georgia)",1,"",""
"19464","Prevent Mosquito Bites | Zika virus | CDC","Girona (Spain)",1,"",""
"19465","Prevent Mosquito Bites | Zika virus | CDC","West-Vlaanderen (Belgium)",1,"",""
"19466","Prevent Mosquito Bites | Zika virus | CDC","Veszprem County (Hungary)",1,"",""
"19467","Prevent Mosquito Bites | Zika virus | CDC","Padova (Italy)",1,"",""
"19468","Prevent Mosquito Bites | Zika virus | CDC","Aklan (Philippines)",1,"",""
"19469","Prevent Mosquito Bites | Zika virus | CDC","Belgrade (Serbia)",1,"",""
"19470","Prevent Mosquito Bites | Zika virus | CDC","Steiermark (Austria)",1,"",""
"19471","Prevent Mosquito Bites | Zika virus | CDC","Santa Cruz De Tenerife (Spain)",1,"",""
"19472","Prevent Mosquito Bites | Zika virus | CDC","Jalal-Abad Province (Kyrgyzstan)",1,"",""
"19473","Prevent Mosquito Bites | Zika virus | CDC","Freeport (Bahamas)",1,"",""
"19474","Questions About Zika | Zika virus | CDC","New York (United States)",1598,"",""
"19475","Questions About Zika | Zika virus | CDC","California (United States)",1372,"",""
"19476","Questions About Zika | Zika virus | CDC","Ontario (Canada)",1146,"",""
"19477","Questions About Zika | Zika virus | CDC","Illinois (United States)",813,"",""
"19478","Questions About Zika | Zika virus | CDC","Texas (United States)",794,"",""
"19479","Questions About Zika | Zika virus | CDC","Florida (United States)",745,"",""
"19480","Questions About Zika | Zika virus | CDC","New Jersey (United States)",623,"",""
"19481","Questions About Zika | Zika virus | CDC","Pennsylvania (United States)",556,"",""
"19482","Questions About Zika | Zika virus | CDC","Massachusetts (United States)",545,"",""
"19483","Questions About Zika | Zika virus | CDC","Maryland (United States)",467,"",""
"19484","Questions About Zika | Zika virus | CDC","Minnesota (United States)",466,"",""
"19485","Questions About Zika | Zika virus | CDC","Ohio (United States)",424,"",""
"19486","Questions About Zika | Zika virus | CDC","Georgia (United States)",414,"",""
"19487","Questions About Zika | Zika virus | CDC","Michigan (United States)",380,"",""
"19488","Questions About Zika | Zika virus | CDC","Washington (United States)",363,"",""
"19489","Questions About Zika | Zika virus | CDC","North Carolina (United States)",350,"",""
"19490","Questions About Zika | Zika virus | CDC","Virginia (United States)",318,"",""
"19491","Questions About Zika | Zika virus | CDC","Wisconsin (United States)",297,"",""
"19492","Questions About Zika | Zika virus | CDC","Colorado (United States)",287,"",""
"19493","Questions About Zika | Zika virus | CDC","Connecticut (United States)",276,"",""
"19494","Questions About Zika | Zika virus | CDC","British Columbia (Canada)",273,"",""
"19495","Questions About Zika | Zika virus | CDC","Arizona (United States)",251,"",""
"19496","Questions About Zika | Zika virus | CDC","Alberta (Canada)",238,"",""
"19497","Questions About Zika | Zika virus | CDC","Missouri (United States)",220,"",""
"19498","Questions About Zika | Zika virus | CDC","Quebec (Canada)",210,"",""
"19499","Questions About Zika | Zika virus | CDC","Indiana (United States)",201,"",""
"19500","Questions About Zika | Zika virus | CDC","Tennessee (United States)",165,"",""
"19501","Questions About Zika | Zika virus | CDC","Oregon (United States)",151,"",""
"19502","Questions About Zika | Zika virus | CDC","District of Columbia (United States)",145,"",""
"19503","Questions About Zika | Zika virus | CDC","Iowa (United States)",135,"",""
"19504","Questions About Zika | Zika virus | CDC","Manila (Philippines)",125,"",""
"19505","Questions About Zika | Zika virus | CDC","Kentucky (United States)",123,"",""
"19506","Questions About Zika | Zika virus | CDC","Utah (United States)",122,"",""
"19507","Questions About Zika | Zika virus | CDC","South Carolina (United States)",108,"",""
"19508","Questions About Zika | Zika virus | CDC","Kansas (United States)",99,"",""
"19509","Questions About Zika | Zika virus | CDC","Louisiana (United States)",96,"",""
"19510","Questions About Zika | Zika virus | CDC","Alabama (United States)",95,"",""
"19511","Questions About Zika | Zika virus | CDC","Nebraska (United States)",88,"",""
"19512","Questions About Zika | Zika virus | CDC","New Hampshire (United States)",81,"",""
"19513","Questions About Zika | Zika virus | CDC","Saskatchewan (Canada)",74,"",""
"19514","Questions About Zika | Zika virus | CDC","Manitoba (Canada)",65,"",""
"19515","Questions About Zika | Zika virus | CDC","Dublin (Ireland)",65,"",""
"19516","Questions About Zika | Zika virus | CDC","London (United Kingdom)",63,"",""
"19517","Questions About Zika | Zika virus | CDC","Oklahoma (United States)",62,"",""
"19518","Questions About Zika | Zika virus | CDC","New South Wales (Australia)",62,"",""
"19519","Questions About Zika | Zika virus | CDC","Puerto Rico (Puerto Rico)",61,"",""
"19520","Questions About Zika | Zika virus | CDC","Central (Singapore)",57,"",""
"19521","Questions About Zika | Zika virus | CDC","Nevada (United States)",57,"",""
"19522","Questions About Zika | Zika virus | CDC","Distrito Nacional (Dominican Republic)",52,"",""
"19523","Questions About Zika | Zika virus | CDC","Rhode Island (United States)",50,"",""
"19524","Questions About Zika | Zika virus | CDC","Wilayah Persekutuan Kuala Lump (Malaysia)",49,"",""
"19525","Questions About Zika | Zika virus | CDC","Maharashtra (India)",47,"",""
"19526","Questions About Zika | Zika virus | CDC","Montana (United States)",45,"",""
"19527","Questions About Zika | Zika virus | CDC","Hong Kong (Hong Kong)",44,"",""
"19528","Questions About Zika | Zika virus | CDC","Maine (United States)",43,"",""
"19529","Questions About Zika | Zika virus | CDC","Cluj (Romania)",43,"",""
"19530","Questions About Zika | Zika virus | CDC","Nova Scotia (Canada)",42,"",""
"19531","Questions About Zika | Zika virus | CDC","Idaho (United States)",41,"",""
"19532","Questions About Zika | Zika virus | CDC","Victoria (Australia)",41,"",""
"19533","Questions About Zika | Zika virus | CDC","Mississippi (United States)",41,"",""
"19534","Questions About Zika | Zika virus | CDC","South Dakota (United States)",40,"",""
"19535","Questions About Zika | Zika virus | CDC","Selangor (Malaysia)",38,"",""
"19536","Questions About Zika | Zika virus | CDC","Hawaii (United States)",37,"",""
"19537","Questions About Zika | Zika virus | CDC","New Mexico (United States)",36,"",""
"19538","Questions About Zika | Zika virus | CDC","Queensland (Australia)",36,"",""
"19539","Questions About Zika | Zika virus | CDC","Krung Thep Maha Nakhon Bangkok (Thailand)",34,"",""
"19540","Questions About Zika | Zika virus | CDC","Lagos (Nigeria)",34,"",""
"19541","Questions About Zika | Zika virus | CDC","Quintana Roo (Mexico)",33,"",""
"19542","Questions About Zika | Zika virus | CDC","Arkansas (United States)",32,"",""
"19543","Questions About Zika | Zika virus | CDC","Gauteng (South Africa)",32,"",""
"19544","Questions About Zika | Zika virus | CDC","Delaware (United States)",31,"",""
