"","page","mobiledevicename","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","::unspecified::",189816,"",""
"22985","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Core Prime (SM-G361F)",1,"",""
"22986","Testing for Zika Virus | Zika virus | CDC","HTC Desire 601",1,"",""
"22987","Testing for Zika Virus | Zika virus | CDC","Amazon Kindle Fire HDX 8.9",1,"",""
"22988","Testing for Zika Virus | Zika virus | CDC","LG X330T",1,"",""
"22989","Testing for Zika Virus | Zika virus | CDC","Sony Xperia Z3 (D6616)",1,"",""
"22990","Testing for Zika Virus | Zika virus | CDC","Sprint G2 (LS980)",1,"",""
"22991","Testing for Zika Virus | Zika virus | CDC","HTC Droid Incredible 4G LTE (ADR6410)",1,"",""
"22992","Testing for Zika Virus | Zika virus | CDC","BlackBerry Q10",1,"",""
"22993","Testing for Zika Virus | Zika virus | CDC","LG G3 S (D722)",1,"",""
"22994","Testing for Zika Virus | Zika virus | CDC","Samsung GALAXY J7 (SM-J700T1)",1,"",""
"22995","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S5 (SM-G900R6)",1,"",""
"22996","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab 4 10.1 (SM-T530nu)",1,"",""
"22997","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925S)",1,"",""
"22998","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab S2 (SM-T713)",1,"",""
"22999","Testing for Zika Virus | Zika virus | CDC","Huawei Honor 5X (KIW-L24)",1,"",""
"23000","Testing for Zika Virus | Zika virus | CDC","Gionee Pioneer (P5W)",1,"",""
"23001","Testing for Zika Virus | Zika virus | CDC","Verizon 10 (6545LVW)",1,"",""
"23002","Testing for Zika Virus | Zika virus | CDC","OnePlus A3003",1,"",""
"23003","Testing for Zika Virus | Zika virus | CDC","LG K8V (VS500)",1,"",""
"23004","Testing for Zika Virus | Zika virus | CDC","Cricket Galaxy S5 (SM-G900AZ)",1,"",""
"23005","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab S2 (SM-T813)",1,"",""
"23006","Testing for Zika Virus | Zika virus | CDC","Sony Xperia M4 Aqua (E2353)",1,"",""
"23007","Testing for Zika Virus | Zika virus | CDC","Huawei Ascend G7 (G7-L03)",1,"",""
"23008","Testing for Zika Virus | Zika virus | CDC","HTC Desire 530 (2PST1)",1,"",""
"23009","Testing for Zika Virus | Zika virus | CDC","Vizio XR6P10",1,"",""
"23010","Testing for Zika Virus | Zika virus | CDC","LG G4 (US991)",1,"",""
"23011","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy J1 (SM-J120A)",1,"",""
"23012","Testing for Zika Virus | Zika virus | CDC","LG Tribute 5 (LS675)",1,"",""
"23013","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Avant (SM-G386T1)",1,"",""
"23014","Testing for Zika Virus | Zika virus | CDC","Motorola Moto X 2nd Gen (XT1094)",1,"",""
"23015","Testing for Zika Virus | Zika virus | CDC","Sony Xperia Z (C6606)",1,"",""
"23016","Testing for Zika Virus | Zika virus | CDC","LG Transpyre (VS810PP)",1,"",""
"23017","Testing for Zika Virus | Zika virus | CDC","Vivo X5Pro D",1,"",""
"23018","Testing for Zika Virus | Zika virus | CDC","General Mobile Discovery",1,"",""
"23019","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S5 (SM-G900H)",1,"",""
"23020","Testing for Zika Virus | Zika virus | CDC","Itel it1502",1,"",""
"23021","Testing for Zika Virus | Zika virus | CDC","Lenovo Sisley (S90-A)",1,"",""
"23022","Testing for Zika Virus | Zika virus | CDC","AT&T Galaxy S3 (SGH-I747)",1,"",""
"23023","Testing for Zika Virus | Zika virus | CDC","Asus Zenfone 5 (T00F)",1,"",""
"23024","Testing for Zika Virus | Zika virus | CDC","Microsoft Lumia 640 XL Dual SIM (RM-1096)",1,"",""
"23025","Testing for Zika Virus | Zika virus | CDC","Asus MeMO Pad Smart 10 (ME301T)",1,"",""
"23026","Testing for Zika Virus | Zika virus | CDC","Lenovo K3 Note (K50a40)",1,"",""
"23027","Testing for Zika Virus | Zika virus | CDC","RCA Tablets 10 Viking Pro (RCT6303W87DK)",1,"",""
"23028","Testing for Zika Virus | Zika virus | CDC","Xiaomi Redmi 3",1,"",""
"23029","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S7 Edge (SM-G935U)",1,"",""
"23030","Testing for Zika Virus | Zika virus | CDC","Sprint One M9 (0PJA2)",1,"",""
"23031","Testing for Zika Virus | Zika virus | CDC","Amazon Fire Phone",1,"",""
"23032","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928F)",1,"",""
"23033","Testing for Zika Virus | Zika virus | CDC","Huawei Honor 7 (PLK-L01)",1,"",""
"23034","Testing for Zika Virus | Zika virus | CDC","LG K10 (MS428)",1,"",""
"23035","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy On7 (SM-G600FY)",1,"",""
"23036","Testing for Zika Virus | Zika virus | CDC","LG G4 (H815)",1,"",""
"23037","Testing for Zika Virus | Zika virus | CDC","Verizon Galaxy J3 (SM-J320VPP)",1,"",""
"23038","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G9250)",1,"",""
"23039","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S4 Mini (GT-I9190)",1,"",""
"23040","Testing for Zika Virus | Zika virus | CDC","Micromax Unite 3 (Q372)",1,"",""
"23041","Testing for Zika Virus | Zika virus | CDC","Motorola DROID Mini 4G LTE (XT1030)",1,"",""
"23042","Testing for Zika Virus | Zika virus | CDC","Sprint G4 (LS991)",1,"",""
"23043","Testing for Zika Virus | Zika virus | CDC","Micromax Canvas Doodle 2 (A240)",1,"",""
"23044","Testing for Zika Virus | Zika virus | CDC","Verizon Galaxy Core Prime (SM-G360V)",1,"",""
"23045","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S5 Mini (SM-G800Y)",1,"",""
"23046","Testing for Zika Virus | Zika virus | CDC","Huawei P8 Lite (ALE-L21)",1,"",""
"23047","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab 3 (SM-T310)",1,"",""
"23048","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Grand Prime Value Edition (SM-G531F)",1,"",""
"23049","What You Need to Know | Zika virus | CDC","::unspecified::",10070,"",""
"23050","What You Need to Know | Zika virus | CDC","Apple iPhone",2911,"",""
"23051","What You Need to Know | Zika virus | CDC","Apple iPad",1033,"",""
"23052","What You Need to Know | Zika virus | CDC","Verizon Galaxy S7 (SM-G930V)",49,"",""
"23053","What You Need to Know | Zika virus | CDC","Verizon Galaxy S5 (SM-G900V)",48,"",""
"23054","What You Need to Know | Zika virus | CDC","Samsung Galaxy S6 (SM-G920W8)",46,"",""
"23055","What You Need to Know | Zika virus | CDC","Verizon Galaxy S6 (SM-G920V)",40,"",""
"23056","What You Need to Know | Zika virus | CDC","Verizon Galaxy S7 edge (SM-G935V)",24,"",""
"23057","What You Need to Know | Zika virus | CDC","Google Nexus 5 (D820)",19,"",""
"23058","What You Need to Know | Zika virus | CDC","T-Mobile Galaxy S7 (SM-G930T)",19,"",""
"23059","What You Need to Know | Zika virus | CDC","AT&T Galaxy S7 (SM-G930A)",19,"",""
"23060","What You Need to Know | Zika virus | CDC","Unknown Event (Generic Android Mobile)",18,"",""
"23061","What You Need to Know | Zika virus | CDC","Samsung Galaxy S7 Edge (SM-G935F)",18,"",""
"23062","What You Need to Know | Zika virus | CDC","Samsung Galaxy S5 (SM-G900W8)",18,"",""
"23063","What You Need to Know | Zika virus | CDC","Verizon Droid Turbo 2 (XT1585)",17,"",""
"23064","What You Need to Know | Zika virus | CDC","Samsung Galaxy S6 (SM-G920F)",17,"",""
"23065","What You Need to Know | Zika virus | CDC","Verizon Galaxy Note 5 (SM-N920V)",15,"",""
"23066","What You Need to Know | Zika virus | CDC","Samsung Galaxy S7 (SM-G930W8)",15,"",""
"23067","What You Need to Know | Zika virus | CDC","Google Pixel",15,"",""
"23068","What You Need to Know | Zika virus | CDC","Google Nexus 5X (H790)",15,"",""
"23069","What You Need to Know | Zika virus | CDC","Motorola Moto G (XT1032)",15,"",""
"23070","What You Need to Know | Zika virus | CDC","Orange Galaxy S7 (SM-G930F)",14,"",""
"23071","What You Need to Know | Zika virus | CDC","AT&T Galaxy S4 (SGH-I337)",14,"",""
"23072","What You Need to Know | Zika virus | CDC","AT&T Galaxy S5 (SM-G900A)",13,"",""
"23073","What You Need to Know | Zika virus | CDC","Sprint Galaxy S6 (SM-G920P)",13,"",""
"23074","What You Need to Know | Zika virus | CDC","Samsung Galaxy Tab 4 10.1 (SM-T350)",12,"",""
"23075","What You Need to Know | Zika virus | CDC","T-Mobile Galaxy S7 edge (SM-G935T)",12,"",""
"23076","What You Need to Know | Zika virus | CDC","Google Nexus 6P",12,"",""
"23077","What You Need to Know | Zika virus | CDC","Samsung Galaxy S7 Edge (SM-G935W8)",12,"",""
"23078","What You Need to Know | Zika virus | CDC","Samsung SM-G903W",12,"",""
"23079","What You Need to Know | Zika virus | CDC","Samsung Galaxy S5 (SM-G900T)",12,"",""
"23080","What You Need to Know | Zika virus | CDC","Sony Xperia Z3 Compact (D5803)",11,"",""
"23081","What You Need to Know | Zika virus | CDC","Sprint Galaxy S7 edge (SM-G935P)",11,"",""
"23082","What You Need to Know | Zika virus | CDC","Samsung Galaxy S5 (SM-G900F)",11,"",""
"23083","What You Need to Know | Zika virus | CDC","Sprint Galaxy S7 (SM-G930P)",11,"",""
"23084","What You Need to Know | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925F)",11,"",""
"23085","What You Need to Know | Zika virus | CDC","AT&T Galaxy S7 edge (SM-G935A)",10,"",""
"23086","What You Need to Know | Zika virus | CDC","HTC One M9",10,"",""
"23087","What You Need to Know | Zika virus | CDC","Verizon Galaxy Note 4 (SM-N910V)",10,"",""
"23088","What You Need to Know | Zika virus | CDC","Google Nexus 7",9,"",""
"23089","What You Need to Know | Zika virus | CDC","Samsung Galaxy A3 (SM-A310F)",9,"",""
"23090","What You Need to Know | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925W8)",9,"",""
"23091","What You Need to Know | Zika virus | CDC","Motorola Moto G (3rd Gen)",9,"",""
"23092","What You Need to Know | Zika virus | CDC","AT&T Galaxy S6 (SM-G920A)",9,"",""
"23093","What You Need to Know | Zika virus | CDC","LG K7 (MS330)",8,"",""
"23094","What You Need to Know | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N920A)",8,"",""
"23095","What You Need to Know | Zika virus | CDC","Samsung Galaxy S6 (SM-G920T)",8,"",""
"23096","What You Need to Know | Zika virus | CDC","Unknown Generic Windows RT Tablet",8,"",""
"23097","What You Need to Know | Zika virus | CDC","Samsung Galaxy Tab 4 10.1 (SM-T530nu)",8,"",""
"23098","What You Need to Know | Zika virus | CDC","Sprint Galaxy Note 5 (SM-N920P)",8,"",""
"23099","What You Need to Know | Zika virus | CDC","OnePlus OnePlus Two (A2005)",8,"",""
"23100","What You Need to Know | Zika virus | CDC","AT&T Galaxy S6 Active (SM-G890A)",8,"",""
"23101","What You Need to Know | Zika virus | CDC","T-Mobile Galaxy J7 (SM-J700T)",8,"",""
"23102","What You Need to Know | Zika virus | CDC","AT&T Galaxy Note 4 (SM-N910A)",8,"",""
"23103","What You Need to Know | Zika virus | CDC","Sprint Galaxy Note 4 (SM-N910P)",7,"",""
"23104","What You Need to Know | Zika virus | CDC","T-Mobile Galaxy S4 (SGH-M919)",7,"",""
"23105","What You Need to Know | Zika virus | CDC","LG K3 (LS450)",7,"",""
"23106","What You Need to Know | Zika virus | CDC","Amazon Fire (2015)",7,"",""
"23107","What You Need to Know | Zika virus | CDC","Xiaomi Redmi Note 3",7,"",""
"23108","What You Need to Know | Zika virus | CDC","Sprint Galaxy S5 (SM-G900P)",7,"",""
"23109","What You Need to Know | Zika virus | CDC","Samsung Galaxy J3 (SM-J320A)",7,"",""
"23110","What You Need to Know | Zika virus | CDC","Verizon G3 (VS985)",6,"",""
"23111","What You Need to Know | Zika virus | CDC","LG G4 (H812)",6,"",""
"23112","What You Need to Know | Zika virus | CDC","Motorola Droid Turbo (XT1254)",6,"",""
"23113","What You Need to Know | Zika virus | CDC","Samsung Galaxy S7 Active (SM-G891A)",6,"",""
"23114","What You Need to Know | Zika virus | CDC","Verizon Galaxy S6 Edge (SM-G925V)",6,"",""
"23115","What You Need to Know | Zika virus | CDC","Samsung Galaxy Note 3 4G LTE (SM-N9005)",6,"",""
"23116","What You Need to Know | Zika virus | CDC","Sprint Galaxy J3 (SM-J320P)",6,"",""
"23117","What You Need to Know | Zika virus | CDC","Verizon Galaxy S4 (SCH-I545)",6,"",""
"23118","What You Need to Know | Zika virus | CDC","US Cellular Galaxy S5 (SM-G900R4)",6,"",""
"23119","What You Need to Know | Zika virus | CDC","T-Mobile Galaxy Grand Prime (SM-G530T)",6,"",""
"23120","What You Need to Know | Zika virus | CDC","Vivo V3",6,"",""
"23121","What You Need to Know | Zika virus | CDC","AT&T Phoenix 2 (K371)",5,"",""
"23122","What You Need to Know | Zika virus | CDC","Samsung Galaxy J7 (SM-J700P)",5,"",""
"23123","What You Need to Know | Zika virus | CDC","Samsung Galaxy Tab Pro (SM-T320)",5,"",""
"23124","What You Need to Know | Zika virus | CDC","Samsung Galaxy A3 (SM-A300FU)",5,"",""
"23125","What You Need to Know | Zika virus | CDC","Samsung Galaxy S4 (GT-I9500)",5,"",""
"23126","What You Need to Know | Zika virus | CDC","LG G Stylo (LS770)",5,"",""
"23127","What You Need to Know | Zika virus | CDC","Samsung Galaxy S5 Mini (SM-G800F)",5,"",""
"23128","What You Need to Know | Zika virus | CDC","Samsung Galaxy S4 LTE (GT-I9505)",5,"",""
"23129","What You Need to Know | Zika virus | CDC","Motorola Moto Z (XT1650)",5,"",""
"23130","What You Need to Know | Zika virus | CDC","BlackBerry Q10",5,"",""
"23131","What You Need to Know | Zika virus | CDC","Motorola Moto X Pure Edition (XT1575)",5,"",""
"23132","What You Need to Know | Zika virus | CDC","LG V10 (VS990)",5,"",""
"23133","What You Need to Know | Zika virus | CDC","Samsung Galaxy Tab A (SM-P550)",5,"",""
"23134","What You Need to Know | Zika virus | CDC","LG G5 (H831)",5,"",""
"23135","What You Need to Know | Zika virus | CDC","LG K10 (MS428)",5,"",""
"23136","What You Need to Know | Zika virus | CDC","Samsung Galaxy Tab E Nook (SM-T560NU)",4,"",""
"23137","What You Need to Know | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N9208)",4,"",""
"23138","What You Need to Know | Zika virus | CDC","Samsung Galaxy A5 (SM-A500FU)",4,"",""
"23139","What You Need to Know | Zika virus | CDC","Samsung Galaxy Note 4 (SM-N910F)",4,"",""
"23140","What You Need to Know | Zika virus | CDC","Samsung Galaxy J3 2016 Duos (SM-J320FN)",4,"",""
"23141","What You Need to Know | Zika virus | CDC","Sprint Galaxy S4 (SPH-L720T)",4,"",""
"23142","What You Need to Know | Zika virus | CDC","Cricket Galaxy Sol (SM-J321AZ)",4,"",""
"23143","What You Need to Know | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925A)",4,"",""
"23144","What You Need to Know | Zika virus | CDC","HTC One M8",4,"",""
"23145","What You Need to Know | Zika virus | CDC","Sony Xperia Z3 (D6603)",4,"",""
"23146","What You Need to Know | Zika virus | CDC","T-Mobile Galaxy Note 5 (SM-N920T)",4,"",""
"23147","What You Need to Know | Zika virus | CDC","Amazon Kindle Fire HDX 7",4,"",""
"23148","What You Need to Know | Zika virus | CDC","Samsung Galaxy S6 (SM-G920R4)",4,"",""
"23149","What You Need to Know | Zika virus | CDC","Samsung Galaxy Tab S2 9.7 (SM-T810)",4,"",""
"23150","What You Need to Know | Zika virus | CDC","Samsung Galaxy S4 (SGH-I337M)",4,"",""
"23151","What You Need to Know | Zika virus | CDC","Motorola Moto E2",4,"",""
"23152","What You Need to Know | Zika virus | CDC","T-Mobile Galaxy S6 Edge (SM-G925T)",4,"",""
"23153","What You Need to Know | Zika virus | CDC","Microsoft Lumia 640 XL Dual SIM (RM-1096)",4,"",""
"23154","What You Need to Know | Zika virus | CDC","Asus Transformer Pad (TF103C (K010))",4,"",""
"23155","What You Need to Know | Zika virus | CDC","Verizon Galaxy Core Prime (SM-G360V)",4,"",""
"23156","What You Need to Know | Zika virus | CDC","LG G4 (VS986)",4,"",""
"23157","What You Need to Know | Zika virus | CDC","Samsung Galaxy On5 LTE (SM-G550T1)",4,"",""
"23158","What You Need to Know | Zika virus | CDC","Sprint Galaxy S6 Edge+ (SM-G928P)",3,"",""
"23159","What You Need to Know | Zika virus | CDC","US Cellular Galaxy S7 (SM-G930R4)",3,"",""
"23160","What You Need to Know | Zika virus | CDC","Samsung Galaxy J5 (SM-J500F)",3,"",""
"23161","What You Need to Know | Zika virus | CDC","OnePlus One (A0001)",3,"",""
"23162","What You Need to Know | Zika virus | CDC","Kyocera Hydro Life (C6530N)",3,"",""
"23163","What You Need to Know | Zika virus | CDC","Amazon Fire HD 7",3,"",""
"23164","What You Need to Know | Zika virus | CDC","Huawei P9 Lite (VNS-L31)",3,"",""
"23165","What You Need to Know | Zika virus | CDC","Unknown Generic Android Tablet",3,"",""
"23166","What You Need to Know | Zika virus | CDC","Samsung Galaxy S6 (SM-G920I)",3,"",""
"23167","What You Need to Know | Zika virus | CDC","Motorola Moto Z (XT1635-01)",3,"",""
"23168","What You Need to Know | Zika virus | CDC","Apple iPod Touch",3,"",""
"23169","What You Need to Know | Zika virus | CDC","Samsung SM-Z200F",3,"",""
"23170","What You Need to Know | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928V)",3,"",""
"23171","What You Need to Know | Zika virus | CDC","Motorola Moto X Play (XT1563)",3,"",""
"23172","What You Need to Know | Zika virus | CDC","Google Pixel XL",3,"",""
"23173","What You Need to Know | Zika virus | CDC","Nokia X2-01",3,"",""
"23174","What You Need to Know | Zika virus | CDC","Itel it1506",3,"",""
"23175","What You Need to Know | Zika virus | CDC","T-Mobile Galaxy Tab A 8 (SM-T357T)",3,"",""
"23176","What You Need to Know | Zika virus | CDC","Motorola Moto G 4G (XT1039)",3,"",""
"23177","What You Need to Know | Zika virus | CDC","Samsung Galaxy Tab 4 (SM-T230NU)",3,"",""
"23178","What You Need to Know | Zika virus | CDC","Microsoft XBOX One",3,"",""
"23179","What You Need to Know | Zika virus | CDC","Samsung Galaxy J1 Mini (2016) (SM-J105B)",3,"",""
"23180","What You Need to Know | Zika virus | CDC","Amazon Kindle Fire HDX 8.9",3,"",""
"23181","What You Need to Know | Zika virus | CDC","Samsung Galaxy Tab 3 10.1 (GT-P5200)",3,"",""
"23182","What You Need to Know | Zika virus | CDC","HTC One (801a)",3,"",""
"23183","What You Need to Know | Zika virus | CDC","Samsung Galaxy J7 (SM-J700H)",3,"",""
"23184","What You Need to Know | Zika virus | CDC","Google Nexus 6",3,"",""
"23185","What You Need to Know | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928T)",3,"",""
"23186","What You Need to Know | Zika virus | CDC","Motorola Droid Maxx 2 (XT1565)",3,"",""
"23187","What You Need to Know | Zika virus | CDC","Samsung Galaxy J7 (2016) (SM-J710F)",3,"",""
"23188","What You Need to Know | Zika virus | CDC","Nokia Lumia 520 (RM-914)",3,"",""
"23189","What You Need to Know | Zika virus | CDC","Kyocera Hydro Reach (C6743)",3,"",""
"23190","What You Need to Know | Zika virus | CDC","Motorola DROID Ultra 4G LTE (XT1080)",3,"",""
"23191","What You Need to Know | Zika virus | CDC","Huawei LYO-L02 (Y6 Elite)",3,"",""
"23192","What You Need to Know | Zika virus | CDC","HTC 10 (2PS6500)",3,"",""
"23193","What You Need to Know | Zika virus | CDC","Samsung Galaxy Tab 3 10.1 (GT-P5210)",3,"",""
"23194","What You Need to Know | Zika virus | CDC","Samsung Galaxy Tab Pro 12.2 (SM-T900)",3,"",""
"23195","What You Need to Know | Zika virus | CDC","Samsung Galaxy J1 (SM-J120A)",3,"",""
"23196","What You Need to Know | Zika virus | CDC","LG G3 (D852)",3,"",""
"23197","What You Need to Know | Zika virus | CDC","LG Tribute HD (LS676)",3,"",""
"23198","What You Need to Know | Zika virus | CDC","Intex Aqua 4.5E",3,"",""
"23199","What You Need to Know | Zika virus | CDC","Asus Zenfone Max (ZC550KL (Z010D))",3,"",""
"23200","What You Need to Know | Zika virus | CDC","Samsung Galaxy E7 (SM-E700H)",3,"",""
"23201","What You Need to Know | Zika virus | CDC","Samsung Galaxy Note Pro 12.2 Wi-Fi (SM-P900)",3,"",""
"23202","What You Need to Know | Zika virus | CDC","Samsung Galaxy J1 (SM-J100VPP)",3,"",""
"23203","What You Need to Know | Zika virus | CDC","OnePlus A3000",3,"",""
"23204","What You Need to Know | Zika virus | CDC","Motorola DROID Mini 4G LTE (XT1030)",3,"",""
"23205","What You Need to Know | Zika virus | CDC","Samsung Galaxy A7 (SM-A700L)",3,"",""
"23206","What You Need to Know | Zika virus | CDC","Google Nexus 10",3,"",""
"23207","What You Need to Know | Zika virus | CDC","Huawei P8 Lite (ALE-L21)",3,"",""
"23208","What You Need to Know | Zika virus | CDC","Huawei Ascend Y330 (Y330-U01)",2,"",""
"23209","What You Need to Know | Zika virus | CDC","RCA Tablets RCT6773W42B",2,"",""
"23210","What You Need to Know | Zika virus | CDC","Sprint Galaxy S4 (SPH-L720)",2,"",""
"23211","What You Need to Know | Zika virus | CDC","Samsung Galaxy Tab E 8.0 (SM-T377V)",2,"",""
"23212","What You Need to Know | Zika virus | CDC","Lenovo A7000-a",2,"",""
